Перевод;Verb;Past simple;Past participle
быть;be;was;been
бить;beat;beat;beaten
стать;become;became;become
начать;begin;began;begun
изгибать;bend;bent;bent
ставить ставку;bet;bet;bet
кусать;bite;bit;bitten
кровоточить;bleed;bled;bled
дуть;blow;blew;blown
ломать;break;broke;broken
принести;bring;brought;brought
транслировать;broadcast;broadcast;broadcast
строить;build;built;built
жечь;burn;burnt;burnt
взрывать;burst;burst;burst
купить;buy;bought;bought
поймать;catch;caught;caught
выбрать;choose;chose;chosen
прийти;come;came;come
стоить;cost;cost;cost
резать;cut;cut;cut
иметь дело;deal;dealt;dealt
копать;dig;dig;dug
делать;do;did;done
рисовать;draw;drew;drawn
мечтать;dream;dreamt;dreamt
пить;drink;drank;drunk
водить;drive;drove;driven
есть;eat;ate;eaten
падать;fall;fell;fallen
чувствовать;feel;felt;felt
кормить;feed;fed;fed
сражаться;fight;fought;fought
искать;find;found;found
летать;fly;flew;flown
запрещать;forbid;forbade;forbidden
забыть;forget;forgot;forgotten
простить;forgive;forgive;forgiven
замерзать;freeze;froze;frozen
получить;get;got;got
дать;give;gave;given
пойти;go;went;gone
расти;grow;grew;grown
висеть;hang;hung;hung
иметь что-то;have;had;had
слышать;hear;heard;heard
прятаться;hide;hid;hidden
ударить;hit;hit;hit
держивать/удерживать;hold;held;held
ранить;hurt;hurt;hurt
поддерживать/сохранять;keep;kept;kept
знать;know;knew;known
класть/положить горизонтально;lay;laid;laid
вести (кого-то за собой);lead;led;led
прыгать/скакать;leap;leapt;leapt
изучать;learn;learnt;learnt
покидать;leave;left;left
одолжить;lend;lent;lent
позволить;let;let;let
лежать;lie;lay;lain
освещать;light;lit;lit
проигрывать;lose;lost;lost
совершать;make;made;made
значить;mean;meant;meant
встретить;meet;met;met
ошибаться;mistake;mistook;mistaken
платить;pay;paid;paid
положить/поставить;put;put;put
читать;read;read;read 
ездить;ride;rode;ridden
звонить;ring;rang;rung
подниматься;rise;rose;risen
бежать;run;ran;run
сказать;say;said;said
видеть;see;saw;seen
продавать;sell;sold;sold
отправлять;send;sent;sent
устанавливать/задавать;set;set;set
трясти;shake;shook;shaken
сиять;shine;shone;shone
стрелять;shoot;shot;shot
показывать;show;showed;shown
уменьшаться/сокращаться;shrink;shrink;shrunk
закрыть/захлопнуть;shut;shut;shut
петь;sing;sang;sung
погружаться/вязнуть;sink;sank;sunk
сидеть;sit;sat;sat
спать;sleep;slept;slept
скользить;slide;slid;slid
пахнуть;smell;smelt;smelt
говорить на каком-то языке;speak;spoke;spoken
произносить по буквам/колдовать;spell;spelt;spelt
тратить/расходовать;spend;spent;spent
пролить;spill;spilt;spilt
разбить на части/расщеплять;split;split;split
распространять;spread;spread;spread
стоять;stand;stood;stood
красть;steal;stole;stolen
держаться/вставить;stick;stuck;stuck
ужалить/укусить;sting;stung;stung
плавать;swim;swam;swum
взять;take;took;taken
обучать кого-то;teach;taught;taught
рвать;tear;tore;torn
рассказывать что-то;tell;told;told
думать;think;thought;thought
бросить;throw;threw;thrown
понять;understand;understood;understood
проснуться;wake;woke;woken
носить/одеваться;wear;wore;worn
выиграть;win;won;won
писать;write;wrote;written
